"year","open","close","period","next_open","cum_days","G_bul","G_sip","N_inc","G_inf","G_tru","O_uni","G_rubw","G_sac","G_glu","T_qui","N_pac","G_rubp","B_dig"
2002,2002-06-16,2002-07-06,20,41,3169,121.6,11.6,75.3,17.4,86.9,5.8,0,0,0,2.895193978,0,0,0
2002,2002-08-16,2002-09-14,29,2,3239,0,0,0,0,18.5,2.3,0,1.540990343,0,0,0,0,0
2002,2002-09-16,2002-10-14,28,2,3269,0,0,0,0,44.6,4.2,2.123142251,2.123142251,0,0,0,0,0
2002,2002-10-16,2002-11-14,29,2,3300,3.9,1.5,0,0,6.9,0,0,0.770495172,0,0,0,0,0
2002,2002-11-16,2002-12-14,28,2,3330,2.1,0,2.1,0,25.5,0,0,0,0,0,0,0,0
2002,2002-12-16,2003-01-14,29,46,3361,2.1,4.1,2.1,0,39,8.2,2.054653791,0,0,0,0,0,0
2003,2003-03-01,2003-03-30,29,2,3436,168.5,12.3,300,195.2,659.5,2.1,0,6.163961373,4.109307582,2.054653791,6.163961373,0,0
2003,2003-04-01,2003-04-29,28,2,3466,17,2.1,51,2.1,146.5,0,0,0,0,0,0,0,2.123142251
2003,2003-05-01,2003-05-30,29,2,3497,14.9,2.6,18.5,5.7,47.8,1.5,0,0.513663448,0,0,0,0,0.513663448
2003,2003-06-01,2003-06-29,28,33,3527,13.5,1.6,6.4,0.8,35,0.8,0,0,1.592356688,0,0,0,0
2003,2003-08-01,2003-08-30,29,2,3589,0.4,0,0.4,0.4,9,4.9,0.410930758,0,0,0,0,0.410930758,0
2003,2003-09-01,2003-09-29,28,2,3619,1.7,0.4,1.7,0,24.6,4.7,0,0.42462845,0,0,0,0,0.42462845
2003,2003-10-01,2003-10-30,29,2,3650,0,0,0,0,24.7,2.1,0,0,0,0,0,2.054653791,0
2003,2003-11-01,2003-11-29,28,2,3680,0,0,0.4,0,9.8,1.7,0,0,0,0,0,0.42462845,0
2003,2003-12-01,2003-12-30,29,2,3711,6.2,0,4.1,2.1,24.7,2.1,0,0,0,0,0,0,0
2004,2004-01-01,2004-01-30,29,17,3742,2.1,0,2.1,0,41.1,2.1,0,0,0,0,0,0,0
2004,2004-02-16,2004-03-14,27,2,3786,228.4,22,546.9,204.3,221.8,0,0,6.589062157,0,127.388535,0,0,2.196354052
2004,2004-03-16,2004-04-14,29,2,3817,4.5,0,29.6,9.5,19.3,0,0,0,0,3.698376824,0,0,0
2004,2004-04-16,2004-05-14,28,2,3847,185.6,9.3,110.4,23.4,96.8,0.4,0,0,2.123142251,0,0,0,0.8492569
2004,2004-05-16,2004-06-14,29,2,3878,435.6,6.2,92.5,18.5,76,4.1,0,4.109307582,6.163961373,12.32792275,0,0,12.32792275
2004,2004-06-16,2004-07-14,28,2,3908,165.6,4.2,48.8,4.2,34,0,0,0,2.123142251,4.246284501,0,0,2.123142251
2004,2004-07-16,2004-08-28,43,19,3953,48.1,0,31.1,0,12.7,1.4,0,0,0,1.415428167,0,0,0
2004,2004-09-16,2004-10-14,28,2,4000,0.4,0,0.4,0,3,0.8,0.42462845,0,0,0,0,0,0
2004,2004-10-16,2004-11-14,29,2,4031,2.5,0,0.4,0,4.5,1.2,1.232792275,0,0,0.410930758,0,0,0
2004,2004-11-16,2004-12-14,28,2,4061,4.2,0,0,0,8.5,0,0,0,0,0,0,0,0
2004,2004-12-16,2005-01-14,29,2,4092,14.4,2.1,6.2,0,80.1,0,0,0,2.054653791,0,0,0,0
2005,2005-01-16,2005-02-14,29,2,4123,2.1,0,0,0,0,0,0,0,0,0,0,0,0
2005,2005-02-16,2005-03-14,26,6,4151,59.1,11.4,63.7,116,145.6,0,0,0,0,0,0,0,0
2005,2005-03-20,2005-04-14,25,2,4182,127.4,7.1,151,28.3,30.7,2.4,0,0,0,0,0,0,2.359046945
2005,2005-04-16,2005-05-14,28,2,4212,0,0,6.4,0,2.1,0,0,0,0,0,0,0,0
2005,2005-05-16,2005-06-14,29,2,4243,53.4,8.2,30.8,8.2,22.6,2.1,0,0,0,0,0,0,2.054653791
2005,2005-06-16,2005-07-14,28,2,4273,0,0,2.1,0,0,2.1,0,0,0,0,0,0,0
2005,2005-07-16,2005-08-14,29,2,4304,1.5,0,1.5,0,3.1,0.5,0,0,0,0,0,0,0
2005,2005-08-16,2005-09-24,39,38,4345,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2005-11-01,2005-11-29,28,2,4411,8.5,0,0,0,14.9,6.4,4.246284501,4.246284501,0,0,0,2.123142251,0
2005,2005-12-01,2005-12-30,29,2,4442,0,0,0,0,0,2.1,0,0,0,0,0,0,0
2006,2006-01-01,2006-01-14,13,NA,4457,8.5,0,0,0,8.5,0,0,0,0,0,0,0,0
